tag,table,run,query_id,query_label,engine_ms,bytes_scanned,rows_returned,status,execution_id
optimized,transactions_optimized,1,Q01,Total spend by merchant category (full scan test),667,4231551,0,SUCCEEDED,2dfda0cc-1d45-4599-b91c-192c45b30a80
optimized,transactions_optimized,1,Q02,Fraud rate by region and category,779,105889,0,SUCCEEDED,eaf6e4a2-aa33-4019-bc47-19237af08d3d
optimized,transactions_optimized,1,Q03,High-value transactions in travel category,900,7629179,0,SUCCEEDED,0a0d73ea-58b2-44bf-b1ed-a13e8906e2ff
optimized,transactions_optimized,1,Q04,Monthly transaction volume (retail only),679,3099806,0,SUCCEEDED,a30595f8-5717-457d-b5f3-97b2454bcba3
optimized,transactions_optimized,1,Q05,Average transaction size by card type and channel (dining),657,2469792,0,SUCCEEDED,b37b3320-64f1-4ba0-9ca7-b488a77c037e
optimized,transactions_optimized,1,Q06,Fraud detection — suspicious high-amount online transactions,754,2500906,0,SUCCEEDED,b4c479e7-882d-4bfb-b119-0ae254090950
optimized,transactions_optimized,1,Q07,Region comparison for utilities spend,1291,1358506,0,SUCCEEDED,3535e968-3d8e-4403-8be8-7ec9349b1a8a
optimized,transactions_optimized,1,Q08,Customer segmentation by account age (healthcare),744,1566325,0,SUCCEEDED,1b8a6ea8-672f-4c22-b552-8914f75964cf
optimized,transactions_optimized,1,Q09,Currency distribution for entertainment,678,1052761,0,SUCCEEDED,a954993e-7d87-45b7-bc9b-4288483cd80e
optimized,transactions_optimized,1,Q10,Top merchants by transaction volume (groceries),646,1493517,0,SUCCEEDED,6b1a3bdd-50c8-4025-beb9-7ab6a500e22b
optimized,transactions_optimized,1,Q11,Multi-category fraud pattern,719,191431,0,SUCCEEDED,b3c1eb1a-6c53-4929-a9ae-5b5c5a1fb0bf
optimized,transactions_optimized,1,Q12,ATM transaction analysis,985,4837524,0,SUCCEEDED,30718db3-f824-4fda-98a5-f89c689140a3
optimized,transactions_optimized,1,Q13,High-value customer analysis (travel + healthcare),1534,10049786,0,SUCCEEDED,9e80f22d-d9fa-4e84-bb12-e819fc5c855e
optimized,transactions_optimized,1,Q14,Daily transaction trend for online category,733,840011,0,SUCCEEDED,0e804ddc-31db-4f0f-a2a9-077e317c53b8
optimized,transactions_optimized,1,Q15,Prepaid card usage patterns,735,5398924,0,SUCCEEDED,7602e24d-58e3-4690-9948-f4f86f6507ce
optimized,transactions_optimized,1,Q16,Cross-region spend comparison (entertainment),712,3743519,0,SUCCEEDED,e7f49121-da31-438b-88d4-8aa207f3c02a
optimized,transactions_optimized,1,Q17,Fraud risk score by channel (financial category),846,45006,0,SUCCEEDED,5dd1bb7c-88ba-4818-9af1-c5f625dcb76f
optimized,transactions_optimized,1,Q18,EUR transactions analysis,782,6599612,0,SUCCEEDED,eea66fdf-cd90-47b5-84c8-c7db8b663969
optimized,transactions_optimized,1,Q19,New customer transaction patterns,659,5095812,0,SUCCEEDED,39120b9b-a075-47a8-9e40-a6330f895d47
optimized,transactions_optimized,1,Q20,Large transaction fraud check (multi-category),1006,3713513,0,SUCCEEDED,85c9af5f-5b0f-44cd-8797-baba4c41912d
optimized,transactions_optimized,1,Q21,Monthly fraud trend (dining),815,2842148,0,SUCCEEDED,098b76e5-294b-43af-b814-6af4cc26f1ca
optimized,transactions_optimized,1,Q22,AP region high-value retail,1012,9149386,0,SUCCEEDED,57783211-7d3f-40d9-9e9a-974379cf0052
optimized,transactions_optimized,1,Q23,Channel efficiency for groceries,,,,ERROR,
optimized,transactions_optimized,1,Q24,Debit card category spend distribution,904,12862221,0,SUCCEEDED,aa0bdc4b-7116-49e0-96cf-7245b732a7d8
optimized,transactions_optimized,1,Q25,"Combined fraud and spend summary (all categories, for baseline comparison)",1314,11803375,0,SUCCEEDED,ea8bcc83-d1bf-4474-b2f2-812acff6aada
optimized,transactions_optimized,2,Q01,Total spend by merchant category (full scan test),742,4231551,0,SUCCEEDED,f00e8984-3982-4814-b959-f68697c221df
optimized,transactions_optimized,2,Q02,Fraud rate by region and category,569,105889,0,SUCCEEDED,344adaa5-e5bc-445d-8fd9-d41f19f52794
optimized,transactions_optimized,2,Q03,High-value transactions in travel category,733,7629179,0,SUCCEEDED,804f4db5-9768-4729-9c25-acd662c1dc1e
optimized,transactions_optimized,2,Q04,Monthly transaction volume (retail only),626,3099806,0,SUCCEEDED,bc2b3cf0-17a2-40d0-b869-e3fab6804e08
optimized,transactions_optimized,2,Q05,Average transaction size by card type and channel (dining),854,2469792,0,SUCCEEDED,d4173c15-f35d-46bb-a30e-73fd96aaff11
optimized,transactions_optimized,2,Q06,Fraud detection — suspicious high-amount online transactions,1288,2500906,0,SUCCEEDED,dba8b940-ffa0-45af-8fea-c0a17d2c9add
optimized,transactions_optimized,2,Q07,Region comparison for utilities spend,743,1358506,0,SUCCEEDED,2e366379-6679-4ae7-9cde-bf9fb83defd8
optimized,transactions_optimized,2,Q08,Customer segmentation by account age (healthcare),601,1566325,0,SUCCEEDED,cd977527-9572-46b4-8249-b145acc4ba1d
optimized,transactions_optimized,2,Q09,Currency distribution for entertainment,543,1052761,0,SUCCEEDED,81566dc3-8a76-41f4-b6af-bb8a686ba710
optimized,transactions_optimized,2,Q10,Top merchants by transaction volume (groceries),657,1493517,0,SUCCEEDED,4cc11ca1-efcb-4f31-bc59-2611d8039509
optimized,transactions_optimized,2,Q11,Multi-category fraud pattern,941,191431,0,SUCCEEDED,8e318c54-d6f2-428e-8242-ae10718f1937
optimized,transactions_optimized,2,Q12,ATM transaction analysis,720,4837524,0,SUCCEEDED,a81a53ad-c48f-4912-ba68-f68b2c8b0b18
optimized,transactions_optimized,2,Q13,High-value customer analysis (travel + healthcare),859,10049786,0,SUCCEEDED,b25ce44a-9941-4cb8-844e-22dfbe349c2b
optimized,transactions_optimized,2,Q14,Daily transaction trend for online category,919,840011,0,SUCCEEDED,d127bd62-c495-4008-b7f5-6434b70c7723
